authors,title,#grscore,#votes,#pagecount,#wordcount
"Virginia Woolf","Orlando","3.87","105064","238","80658"
"Vladimir Nabokov","Strong Opinions","3.98","1181","355","97833"
"Vladimir Nabokov","Pale Fire","4.17","54609","306","80270"
"Vladimir Nabokov","Nabokov's Dozen: Thirteen Stories","4.01","1476","214","61140"
"Vladimir Nabokov","Lectures on Russian Literature","4.26","2026","202","133790"
"Herman Melville","Moby Dick","3.56","593684","640","217472"
"Vladimir Nabokov","Lectures on Literature","4.33","2568","415","169365"
"Steve Coll","Ghost Wars: The Secret History of the CIA, Afghanistan & Bin Laden From the Soviet Invasion to September 10, 2001","4.31","17956","956","288589"
"Theodore H. White","The Making of the President 1960","4.15","7896","570","183612"
"Richard Rhodes","The Making of the Atomic Bomb","4.4","23543","1393","384257"
"Richard Kluger","Ashes to Ashes: America's Hundred-Year Cigarette War, the Public Health, and the Unabashed Triumph of Philip Morris","3.92","286","1157","379124"
"Joby Warrick","Black Flags: The Rise of ISIS","4.32","15679","387","114769"
"Caroline Elkins","Imperial Reckoning: The Untold Story of Britain's Gulag in Kenya","4.05","1467","735","210654"
"Edwin Way Teale","Journey Into Summer: A Naturalist’s Record of a 19,000-Mile Journey Through the North American Summer","4.4","162","425","125249"
"Tina Rosenberg","The Haunted Land: Facing Europe's Ghosts After Communism","4.06","553","547","153759"
"John McPhee","Annals of the Former World","4.36","4239","785","259442"
"John Toland","The Rising Sun: The Decline and Fall of the Japanese Empire, 1936-1945","4.29","5787","1369","428288"
"Carl E. Schorske","Fin-De-Siecle Vienna: Politics and Culture","4.09","1559","410","124017"
"Will Durant & Ariel Durant","Rousseau and Revolution","3.88","66969","1093","587413"
"Frances FitzGerald","Fire in the Lake","4.08","2349","625","202384"
"James Forman Jr.","Locking Up Our Own: Crime and Punishment in Black America","4.37","4419","356","100239"
"Anne Applebaum","Gulag","4.28","12539","934","286339"
"Garry Wills","Lincoln at Gettysburg: The Words That Remade America","4.16","8491","323","93754"
"J. Anthony Lukas","Common Ground: A Turbulent Decade in the Lives of Three American Families","4.31","2696","1039","329916"
"Edward O. Wilson","On Human Nature","4.14","3532","278","77944"
"Elizabeth Kolbert","The Sixth Extinction: An Unnatural History","4.16","75748","344","95518"
"Stephen Greenblatt","The Swerve: How the World Became Modern","3.87","34056","408","115227"
"Starr, Paul, 1949-","The social transformation of American medicine","","","795","222551"
"David K. Shipler","Arab and Jew: Wounded Spirits in a Promised Land","4.05","796","798","264337"
"Bert Hölldobler & Edward O. Wilson","The Ants","4.61","831","1665","407562"
"Diane McWhorter","Carry Me Home: Birmingham Alabama","4.21","1031","1381","398966"
