title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"The Lodger Shakespeare: His Life on Silver Street","Charles Nicholl","2007-12-01T03:00:00-05:00","General, Renaissance, Great Britain, Biography, Autobiography, History, Europe, Literary Figures","3.76","763","123393","400","3813646","Penguin"
"A Hero of Our Time","Mikhail Lermontov","1839-01-01T03:03:58-04:56:02","Classics, Historical, Fiction, History, Adventure","4.11","61711","64136","211","286867","Penguin Classics"
"The Sound of a Wild Snail Eating","Elisabeth Tova Bailey","2010-01-01T01:31:23-05:00","Life Sciences, Animals, General, Science, Essays, Nature","4.15","19699","28710","70","691558","Algonquin Books"
"Veganomicon: The Ultimate Vegan Cookbook","Isa Chandra Moskowitz & Terry Hope Romero","2007-01-01T03:00:00-05:00","Cookbooks, Reference, Health, Food","3.84","33003","135559","727","2381020","Da Capo Lifelong Books"
"Appetite for Reduction: 125 Fast and Filling Low-Fat Vegan Recipes","Isa Chandra Moskowitz & Matthew Ruscigno","2010-11-16T03:00:00-05:00","Cookbooks, Reference, Health, Food","3.93","7761","80907","224","3514868","Balance"
"Priceless: How I Went Undercover to Rescue the World's Stolen Treasures","Robert K. Wittman & John Shiffman","2010-04-15T09:10:37-04:00","History, Biography, True Crime, Crime, Art, Mystery","3.83","10151","97648","322","368293","Crown"
"Home to Italy","Peter Pezzelli","2004-01-01T03:00:00-05:00","Romance, Travel, Adult, Contemporary, Fiction","3.68","1606","67480","232","254626","Kensington Pub Corp"
"Pressure","Jeff Strand","2005-01-01T03:00:00-05:00","Horror, Suspense, Crime, Humour, Mystery, Paranormal, Thriller","4.05","2898","74364","313","543191","Leisure Books"
"Dweller","Jeff Strand","2010-01-01T03:00:00-05:00","Horror, Fantasy, Humour, Paranormal, Thriller","4.0","3194","77816","313","390584","Leisure Books"
"The Brutal Telling","Louise Penny","2009-09-22T03:00:00-04:00","Police Procedural, General, Detective and mystery stories, Fiction, Crime, Police, Suspense, Mystery Fiction, Thriller, Mystery, Detective, Traditional British, Murder, Adult, Contemporary, Hard-Boiled, Small Town, Rural, Thrillers, Psychological","4.23","92342","123807","494","388212","Minotaur Books"
"The Little Prince","Antoine de Saint-Exupéry","1943-04-06T03:00:00-04:00","Childrens, Young Adult, Classics, Fantasy, Children's Books, Philosophy","4.33","2320962","17550","101","217848","Wordsworth Editions"
"Tetrarch","Ian Irvine","2002-01-01T03:00:00-05:00","Science-Fiction, Science Fiction, Adult, Fantasy","4.03","1741","218544","806","3407859","Orbit"
"Geomancer","Ian Irvine","2001-09-01T03:00:00-04:00","Science-Fiction, Science Fiction, Adult, Fantasy","3.87","2397","200260","725","2450401","Orbit"
"Chimaera","Ian Irvine","2004-01-01T03:00:00-05:00","Adult, Science Fiction, Fantasy","4.08","1518","266859","988","3711894","Orbit"
"Fatal Flaw","William Lashner","2004-03-30T03:00:00-05:00","Suspense, Mystery, Detective, Crime, Fiction, Thrillers, Legal, General, Thriller","3.94","1036","139862","497","515712","HarperTorch"
"The Hound of Rowan","Henry H. Neff","2007-04-15T08:11:49-04:00","Fiction, Legends; Myths; Fables, General, Fantasy, Magic, Family, Action, Adventure, Children's Books, Epic, Art, Juvenile Fiction","4.05","13565","103783","394","765423","Random House"
"Less","Andrew Sean Greer","2017-07-18T03:00:00-04:00","Lgbtq+, Gay, Satire, Fiction, Adult, General, Literary, Humorous, Romance, bookclub, Humour, Travel, read_author, Contemporary","3.62","226494","72007","233","2648169","Little, Brown"
"A Memory of Wind","Rachel Swirsky","2009-11-03T03:00:00-05:00","Science Fiction, Historical, Adventure, Science-Fiction, Fantasy","3.81","717","12619","46","512533","Tor Books"
"How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships","Leil Lowndes","1998-10-01T03:00:00-04:00","Social Science, Self-Help","3.68","41798","77624","205","233054","PublishDrive"
"The Penguin Book of Victorian Women in Crime: Forgotten Cops and Private Eyes From the Time of Sherlock Holmes","Michael Sims","2010-12-08T03:00:00-05:00","Crime, Anthologies, Feminism, Mystery, Classics","3.74","356","118619","379","365344","Penguin Publishing Group"
"The Other Wes Moore: One Name, Two Fates","Wes Moore","2010-04-27T00:33:14-04:00","Crime, Sociology, History, Contemporary, Politics, Adult, Non-Fiction, Young Adult, Biography, Autobiography","3.87","55995","67684","186","9784677","Spiegel & Grau"
"Nefertiti","Michelle Moran","2007-07-10T03:00:00-04:00","Fiction, History, Adult, Romance, Fiction:Historical, Historical","4.09","40201","133655","516","492517","Crown"
"Cleopatra's Daughter","Michelle Moran","2009-09-15T03:00:00-04:00","Fiction, History, Adult, Romance, Young Adult, Fiction:Historical, Historical","4.12","30359","121652","476","874100","Crown"
"The Heretic Queen","Michelle Moran","2008-04-15T07:46:46-04:00","Fiction, History, Adult, Romance, Fiction:Historical, Historical","4.21","26155","111145","397","460758","Crown"
"Anonyponymous: The Forgotten People Behind Everyday Words","John Bemelmans Marciano","2009-10-27T03:00:00-04:00","Writing, History, Humour, Reference, Adult, Biography","3.52","417","27699","94","2655342","Bloomsbury USA"
"Naamah's Curse","Jacqueline Carey","2010-06-14T03:00:00-04:00","Science Fiction, Fantasy, Romance, Adult, Science-Fiction","4.16","11447","178090","657","529934","Grand Central Publishing"
"Safe Food: Bacteria, Biotechnology, and Bioterrorism","Marion Nestle","2003-01-01T03:00:00-05:00","Science, Health, Politics, Food","3.88","274","148952","399","3813426","University of California Press"
"Hanging Hill","Mo Hayder","2011-01-01T03:00:00-05:00","Horror, Suspense, Crime, Mystery, Thriller, Fiction:Detective","3.88","6713","123533","418","549909","Bantam Press"
"Lyra's Oxford","Philip Pullman","2003-04-15T11:11:27-04:00","Visionary, Metaphysical, Science Fiction, General, People, Places, Fantasy, Magic, Europe, Action, Adventure, Science-Fiction, Juvenile Fiction","3.63","29311","8140","28","1872396","Alfred A. Knopf"
"La Daga","Philip Pullman","1997-07-22T03:00:00-04:00","Fantasy, Fiction:Young Adult, Science Fiction, Young Adult, Adventure, Childrens, Juvenile Fiction, Magic, Fiction, General","4.15","461173","99526","344","356165","EDB INFANTIL FICCION"
"The Amber Spyglass","Philip Pullman","2000-10-10T03:00:00-04:00","Fantasy, Young Adult, Adventure, Science Fiction, Childrens","4.11","384437","159085","540","531392","Laurel Leaf"
"The Golden Compass","Philip Pullman","2007-07-15T03:00:00-04:00","Fiction:Young Adult, Childrens, Science Fiction, Adventure, Young Adult, Fantasy, Science-Fiction","4.03","1582813","117579","411","414689","Findaway World Llc"
"The Good Man Jesus and the Scoundrel Christ","Philip Pullman","2009-12-04T03:00:00-05:00","Fantasy, Fiction, Contemporary, Philosophy, Religion, Historical","3.43","14646","37559","130","489100","Canongate U.S."
"The Leopard","Giuseppe Tomasi Di Lampedusa","1958-11-11T03:00:00-05:00","Fiction, Political, Literary, General, bookclub, Classics, read_author, Historical","4.01","48442","88930","268","1322143","NEAP"
"The Ninth Daughter","Barbara Hamilton","2009-08-29T03:00:00-04:00","Mystery, Mystery:Historical, Historical, Adult","3.68","1156","110185","355","484770","Penguin Publishing Group"
"The Haunting of Hill House","Shirley Jackson","1959-10-16T04:00:00-04:00","Horror, Mystery, Paranormal, Thriller, Adult, Fantasy","3.82","352382","64531","224","250902","Penguin Classics"
"Hangsaman","Shirley Jackson","1951-01-01T03:00:00-05:00","Adult, Mystery, Thriller, Horror, Classics","3.77","10265","81542","264","2185590","Penguin"
"The Lottery","Shirley Jackson","1948-06-26T03:00:00-04:00","Horror, Short Stories, Classics, Science Fiction","4.04","110683","3375","11","36781","Creative Education"
"Peter Pan","J. M. Barrie","1911-01-01T03:00:00-05:00","Childrens, Adventure, Young Adult, Classics, Fantasy","4.03","362958","63484","223","2192994","Modern Library"
